STATE,TOTAL CASES 200617,BLACK CASES 200617,HISPANIC CASES 200617,WHITE CASES 200617,BLACK CI 200617,HISPANIC CI 200617,WHITE CI 200617,TOTAL CASES 200622,BLACK CASES 200622,HISPANIC CASES 200622,WHITE CASES 200622,BLACK CI 200622,HISPANIC CI 200622,WHITE CI 200622,TOTAL CASES 200626,BLACK CASES 200626,HISPANIC CASES 200626,WHITE CASES 200626,BLACK CI 200626,HISPANIC CI 200626,WHITE CI 200626,TOTAL CASES 200630,BLACK CASES 200630,HISPANIC CASES 200630,WHITE CASES 200630,BLACK CI 200630,HISPANIC CI 200630,WHITE CI 200630,TOTAL CASES 200702,BLACK CASES 200702,HISPANIC CASES 200702,WHITE CASES 200702,BLACK CI 200702,HISPANIC CI 200702,WHITE CI 200702,TOTAL CASES 200707,BLACK CASES 200707,HISPANIC CASES 200707,WHITE CASES 200707,BLACK CI 200707,HISPANIC CI 200707,WHITE CI 200707,TOTAL CASES 200710,BLACK CASES 200710,HISPANIC CASES 200710,WHITE CASES 200710,BLACK CI 200710,HISPANIC CI 200710,WHITE CI 200710,TOTAL CASES 200714,BLACK CASES 200714,HISPANIC CASES 200714,WHITE CASES 200714,BLACK CI 200714,HISPANIC CI 200714,WHITE CI 200714,TOTAL CASES 200717,BLACK CASES 200717,HISPANIC CASES 200717,WHITE CASES 200717,BLACK CI 200717,HISPANIC CI 200717,WHITE CI 200717,TOTAL CASES 200721,BLACK CASES 200721,HISPANIC CASES 200721,WHITE CASES 200721,BLACK CI 200721,HISPANIC CI 200721,WHITE CI 200721,TOTAL CASES 200724,BLACK CASES 200724,HISPANIC CASES 200724,WHITE CASES 200724,BLACK CI 200724,HISPANIC CI 200724,WHITE CI 200724,TOTAL CASES 200728,BLACK CASES 200728,HISPANIC CASES 200728,WHITE CASES 200728,BLACK CI 200728,HISPANIC CI 200728,WHITE CI 200728,TOTAL CASES 200731,BLACK CASES 200731,HISPANIC CASES 200731,WHITE CASES 200731,BLACK CI 200731,HISPANIC CI 200731,WHITE CI 200731,TOTAL CASES 200804,BLACK CASES 200804,HISPANIC CASES 200804,WHITE CASES 200804,BLACK CI 200804,HISPANIC CI 200804,WHITE CI 200804,TOTAL CASES 200807,BLACK CASES 200807,HISPANIC CASES 200807,WHITE CASES 200807,BLACK CI 200807,HISPANIC CI 200807,WHITE CI 200807,TOTAL CASES 200811,BLACK CASES 200811,HISPANIC CASES 200811,WHITE CASES 200811,BLACK CI 200811,HISPANIC CI 200811,WHITE CI 200811,TOTAL CASES 200814,BLACK CASES 200814,HISPANIC CASES 200814,WHITE CASES 200814,BLACK CI 200814,HISPANIC CI 200814,WHITE CI 200814,TOTAL CASES 200818,BLACK CASES 200818,HISPANIC CASES 200818,WHITE CASES 200818,BLACK CI 200818,HISPANIC CI 200818,WHITE CI 200818,TOTAL CASES 200821,BLACK CASES 200821,HISPANIC CASES 200821,WHITE CASES 200821,BLACK CI 200821,HISPANIC CI 200821,WHITE CI 200821,TOTAL CASES 200825,BLACK CASES 200825,HISPANIC CASES 200825,WHITE CASES 200825,BLACK CI 200825,HISPANIC CI 200825,WHITE CI 200825,TOTAL CASES 200828,BLACK CASES 200828,HISPANIC CASES 200828,WHITE CASES 200828,BLACK CI 200828,HISPANIC CI 200828,WHITE CI 200828,TOTAL CASES 200901,BLACK CASES 200901,HISPANIC CASES 200901,WHITE CASES 200901,BLACK CI 200901,HISPANIC CI 200901,WHITE CI 200901,TOTAL CASES 200904,BLACK CASES 200904,HISPANIC CASES 200904,WHITE CASES 200904,BLACK CI 200904,HISPANIC CI 200904,WHITE CI 200904,TOTAL CASES 200908,BLACK CASES 200908,HISPANIC CASES 200908,WHITE CASES 200908,BLACK CI 200908,HISPANIC CI 200908,WHITE CI 200908,TOTAL CASES 200911,BLACK CASES 200911,HISPANIC CASES 200911,WHITE CASES 200911,BLACK CI 200911,HISPANIC CI 200911,WHITE CI 200911,TOTAL CASES 200915,BLACK CASES 200915,HISPANIC CASES 200915,WHITE CASES 200915,BLACK CI 200915,HISPANIC CI 200915,WHITE CI 200915,TOTAL CASES 200918,BLACK CASES 200918,HISPANIC CASES 200918,WHITE CASES 200918,BLACK CI 200918,HISPANIC CI 200918,WHITE CI 200918,TOTAL CASES 200922,BLACK CASES 200922,HISPANIC CASES 200922,WHITE CASES 200922,BLACK CI 200922,HISPANIC CI 200922,WHITE CI 200922
IOWA,24263,2426,6544,14800,1922,3345,550,26050,2605,6773,16151,2064,3462,600,27473,2747,7143,17308,2177,3652,643,28947,2605,7237,18526,2064,3700,688,29966,2697,7192,18879,2137,3677,701,31929,2874,7663,20435,2277,3917,759,33756,3038,7764,21604,2407,3969,803,35830,3184,7883,23290,2523,4030,865,37616,3009,7899,24450,2384,4038,908,39149,3132,8221,26016,2482,4203,967,40960,3277,8192,27443,2597,4188,1020,42752,3420,8550,28644,2710,4371,1064,44436,3555,8887,29772,2817,4543,1106,45982,3679,8737,31268,2915,4466,1162,47729,3341,9069,32456,2647,4636,1206,49182,3443,9345,33936,2728,4777,1261,50813,3557,9146,35061,2818,4676,1303,52924,3705,9526,36518,2936,4870,1357,54653,3826,9291,37164,3032,4750,1381,57076,3995,9703,39382,3166,4960,1463,60432,4230,9669,41094,3352,4943,1527,63890,4472,9584,44084,3544,4899,1638,66353,3981,9953,45120,3155,5088,1677,68930,4136,10340,46872,3277,5286,1742,70914,4255,10637,48931,3371,5438,1818,73278,4397,10259,51295,3484,5244,1906,76000,4560,10640,52440,3613,5439,1949,78812,4729,11034,55168,3747,5641,2050
WASHINGTON,26531,1164,8440,7031,355,859,136,28680,1205,8872,7300,368,903,141,30367,1265,9751,7750,386,993,150,32253,1331,10420,8205,406,1061,158,33435,1366,10717,8493,417,1091,164,36985,1455,11685,9458,444,1190,183,38581,1501,12049,9842,458,1227,190,41757,1604,12918,10581,490,1315,204,44313,1653,13380,11080,505,1362,214,47743,1715,13799,11479,524,1405,222,50009,1766,14088,11811,539,1434,228,53321,1930,15439,13004,589,1572,251,55803,2090,16654,13948,638,1695,269,58715,2188,17209,14479,668,1752,280,60917,2282,17698,14981,697,1802,289,63647,2397,18071,15516,732,1840,300,65339,2494,18447,16086,762,1878,311,67721,2705,20057,17578,826,2042,339,69389,2817,20561,18060,860,2093,349,71371,2949,21208,18700,901,2159,361,72703,3005,21658,19100,918,2205,369,74635,3099,22165,19708,946,2256,381,75856,3141,22389,20069,959,2279,388,77545,3179,22785,20396,971,2320,394,78467,3209,22960,20710,980,2337,400,80465,3296,23369,21388,1007,2379,413,81198,3326,23514,21588,1016,2394,417,82548,3360,23739,21944,1026,2417,424
CALIFORNIA,109020,5043,61492,19424,196,396,134,173824,5485,69392,21177,214,447,146,195571,5981,76036,22871,233,490,157,222917,6557,83658,25250,255,539,174,232657,6774,86009,26127,264,554,180,271684,7693,97599,30519,300,629,210,296499,8336,104040,33275,325,670,229,329162,9196,115828,37400,358,746,257,356178,9963,125858,40603,388,811,279,391538,10866,140066,44276,423,902,305,425616,11717,150960,47871,456,972,329,460550,12741,165201,51728,496,1064,356,485582,13382,176527,54219,521,1137,373,514901,14149,191958,57183,551,1236,393,529980,14691,201559,59102,572,1298,406,561911,15622,216008,62441,608,1391,429,593141,16390,226715,65396,638,1460,450,628031,17496,240925,69364,681,1552,477,421143,18043,249313,71233,703,1606,490,668615,18817,262106,74224,733,1688,510,683529,19321,269683,76255,752,1737,524,707797,20098,282690,79526,783,1820,547,717177,19124,251261,76411,745,1618,526,735235,21216,299981,83745,826,1932,576,742865,21575,305364,85124,840,1966,585,760013,20733,275183,83070,807,1772,571,766201,22454,320694,89200,874,2065,613,781694,23014,329643,91656,896,2123,630
MISSISSIPPI,20152,9785,1113,5198,870,1100,309,20641,10671,1111,5466,949,1098,325,24516,12317,1300,6792,1095,1285,404,27247,12276,1425,6443,1091,1408,383,27900,12438,1444,6554,1106,1427,390,31257,15060,1544,8266,1339,1526,492,33591,15951,1631,9140,1418,1612,544,36680,15019,1656,8623,1335,1637,513,39797,18426,1714,11277,1638,1694,671,43889,16723,1765,10372,1487,1744,617,48053,20155,1815,13830,1792,1794,822,52957,22948,1882,15637,2040,1860,930,57579,19772,1953,13504,1758,1930,803,61125,25996,2049,18572,2311,2025,1104,64400,27119,2149,19809,2411,2124,1178,67649,28311,2176,21141,2517,2150,1257,69986,29325,2239,22221,2607,2213,1321,72412,30364,2298,23256,2699,2271,1383,75449,31461,2128,24905,2797,2103,1481,78405,32305,2395,25415,2872,2367,1511,80695,32980,2429,26360,2932,2400,1568,83584,33874,2492,27732,3011,2463,1649,85116,34341,2521,28486,3053,2491,1694,86478,34791,2561,29259,3093,2531,1740,89175,35652,2636,30556,3169,2605,1817,90523,36091,2668,31250,3208,2637,1858,91935,36511,2698,31851,3245,2666,1894,94021,37153,2753,32946,3303,2721,1959
FLORIDA,80109,15300,28446,43000,510,673,427,100217,17900,34111,48500,597,808,482,114018,19983,37927,54402,666,898,541,152434,24401,45445,66552,813,1076,662,169106,26689,49266,72493,890,1166,721,213794,32307,58115,86844,1077,1376,863,244151,36943,64764,97400,1231,1533,968,282435,41811,71366,107783,1394,1690,1071,315693,46554,78859,119612,1552,1867,1189,369834,53988,90815,137178,1800,2150,1364,389868,56696,95583,143931,1890,2263,1431,441977,64277,109867,164075,2143,2601,1631,461379,67410,116545,173238,2247,2759,1722,491884,72237,126448,186600,2408,2994,1855,510389,75772,133539,197198,2526,3162,1960,536961,80277,142077,209639,2676,3364,2084,557137,83789,149227,220237,2793,3533,2189,579932,87973,158723,234273,2933,3758,2329,593286,90742,165306,243452,3025,3914,2420,605502,93040,170347,250940,3101,4033,2494,611991,94636,178553,255146,3155,4227,2536,631040,96966,178795,264331,3232,4233,2627,637013,97908,181250,268768,3264,4291,2672,648269,99741,184758,276210,3325,4374,2746,654731,100840,187425,281117,3361,4437,2794,668846,102926,191529,290265,3431,4535,2885,674456,103767,193268,293917,3459,4576,2922,687909,105963,193268,302728,3532,4576,3009
GEORGIA,59078,15214,8896,12840,442,855,231,64701,16523,10299,21803,480,990,392,71095,21174,11819,24259,616,1136,436,79417,22417,12725,19917,652,1223,358,84237,23675,13645,21260,688,1311,382,97064,26615,14997,23708,774,1441,426,106727,28493,15927,25558,828,1531,459,120569,31809,17465,28381,925,1679,510,131275,34130,18563,30619,992,1784,550,145575,31666,19647,28260,921,1888,508,156588,40364,21123,36171,1173,2030,650,170843,43463,22445,38946,1263,2157,700,182286,39679,23959,35468,1153,2303,638,195435,49207,25148,44962,1430,2417,808,204895,51715,26379,47823,1503,2535,860,219025,54729,27616,51009,1591,2654,917,228668,57952,28775,67891,1685,2765,1220,238861,60821,29888,72083,1768,2872,1296,246741,63371,31024,76198,1842,2982,1370,256253,66314,32143,80261,1928,3089,1443,263074,68293,33375,84477,1985,3208,1518,272697,70642,34837,90324,2054,3348,1624,277288,71803,35540,93404,2087,3416,1679,283807,73068,36299,96676,2124,3489,1738,289123,74439,36920,99910,2164,3548,1796,296833,76777,37895,104241,2232,3642,1874,300903,77873,38349,106455,2264,3686,1913,307339,79483,39055,109892,2311,3753,1975
TENNESSEE,31830,6712,8242,13346,575,2155,265,34102,7312,9404,14657,626,2459,291,38034,8235,10358,16340,705,2708,325,42297,8872,11204,17771,760,2930,353,45315,9676,11729,19194,829,3067,381,52155,10640,12524,21497,911,3275,427,57591,11825,13253,24113,1013,3465,479,65274,12883,13963,26607,1103,3651,529,71540,14422,14862,30043,1235,3886,597,79754,15478,15416,32822,1325,4031,652,86987,17171,16199,36998,1470,4236,735,96489,18408,16867,40844,1576,4410,812,102871,19463,17621,44226,1667,4608,879,110636,20564,18171,47702,1761,4751,948,116350,22345,18733,52258,1913,4898,1038,123914,23239,19255,55873,1990,5035,1110,128511,24862,19912,59985,2129,5207,1192,134744,25587,20425,63075,2191,5341,1253,139175,26868,21025,66776,2301,5498,1327,144604,27672,21501,70068,2370,5622,1392,149179,28785,22027,73846,2465,5760,1467,156329,29689,22612,78058,2542,5913,1551,159546,30391,23000,80882,2602,6014,1607,165109,31120,23435,84449,2665,6128,1678,168237,31823,23760,87392,2725,6213,1736,169893,32758,24161,91962,2805,6318,1827,172453,33291,24365,94707,2851,6371,1882,184409,33954,24653,98566,2908,6446,1958
NORTH CAROLINA,45853,8169,13610,17118,351,1352,260,52801,8963,16016,19627,385,1591,298,57183,9591,17634,21561,412,1751,327,64670,10547,19918,24415,453,1978,371,66513,15963,30596,37247,686,3039,566,74529,11900,22212,27827,511,2206,422,79349,12925,23764,30327,555,2360,460,89484,14151,25309,32883,608,2514,499,93426,15222,26674,35471,654,2649,539,101046,16378,28049,38365,703,2786,582,106893,17818,29584,41551,765,2938,631,116087,19790,31444,46037,850,3123,699,120194,20763,32364,48388,892,3214,735,126532,30368,51878,70858,1304,5152,1076,131267,23005,34324,53697,988,3409,815,136844,24125,35270,56249,1036,3503,854,140824,25123,36312,58636,1079,3606,890,145516,26083,37032,60986,1120,3678,926,151912,27467,38319,64604,1180,3806,981,156396,28202,38934,66827,1211,3867,1015,161076,29238,39830,69464,1256,3956,1055,167313,30275,40579,72444,1300,4030,1100,172209,31349,41495,75215,1346,4121,1142,177919,32303,42154,78143,1387,4187,1186,180754,33010,42750,80051,1418,4246,1215,186887,34264,43638,83390,1472,4334,1266,191019,35178,44352,85824,1511,4405,1303,195549,36123,44954,88190,1551,4465,1339
VIRGINIA,55775,7852,19032,11518,462,2323,219,58469,8257,19962,12121,486,2436,231,60570,8587,20836,12686,506,2543,242,62787,8915,21430,13244,525,2615,252,63735,9177,21746,13609,540,2654,259,66740,9741,22477,14307,573,2743,273,68931,10386,22985,15001,611,2805,286,72443,11141,23628,15760,656,2884,300,75433,12002,24204,16672,707,2954,318,79371,13005,24670,17630,766,3011,336,82364,13896,25166,18593,818,3071,354,86994,15197,25713,19845,895,3138,378,89888,16026,26198,20700,944,3197,394,94251,17101,26720,21871,1007,3261,417,97882,18050,27181,22928,1063,3317,437,100749,18727,27511,23817,1103,3357,454,104838,19882,28176,25168,1171,3439,479,108282,20796,28725,26339,1224,3506,502,110860,21533,2922,27388,1268,357,522,114635,22451,29763,28594,1322,3632,545,117592,22987,30060,29334,1353,3668,559,121615,24058,30845,31265,1416,3764,596,124779,24739,31301,32622,1456,3820,621,128407,25493,31688,34121,1501,3867,650,131640,26192,32168,35535,1542,3926,677,135514,26933,32662,37255,1586,3986,710,138702,27579,33120,38599,1624,4042,735,142010,28335,33650,40061,1668,4107,763
MARYLAND,62409,18017,17020,12244,964,2707,401,64603,18657,17580,12693,999,2796,416,66115,18990,17918,12952,1017,2850,424,67559,19349,18229,19349,1036,2899,634,68423,19474,18289,13380,1042,2909,438,70396,20157,18690,13945,1079,2973,457,71910,20695,19261,14441,1108,3063,473,74260,21525,19701,15161,1152,3133,497,76371,22225,20063,15846,1190,3191,519,79545,23414,20485,16799,1253,3258,550,81766,24310,20795,17486,1301,3307,573,85524,25880,21228,18540,1385,3376,607,88346,27055,21593,19364,1448,3434,634,91144,28163,21896,20140,1508,3482,660,93806,28784,23367,20294,1541,3716,665,96258,29964,23812,20967,1604,3787,687,98875,31356,24465,21800,1678,3891,714,101235,32296,24809,22450,1729,3946,735,102899,32910,25069,22944,1762,3987,752,105046,33622,25419,23574,1800,4043,772,106664,34105,25669,24102,1826,4083,789,108863,35080,24872,25309,1878,3956,829,110831,35652,25106,26162,1908,3993,857,113239,36403,25356,27104,1949,4033,888,114724,36811,25534,27655,1970,4061,906,117245,37451,25852,28642,2005,4112,938,119062,37992,26124,29269,2034,4155,959,120912,38481,26382,29945,2060,4196,981
