,STATE,RANK,DATE,TOTAL CASES,BLACK CASES,HISPANIC CASES,WHITE CASES,BLACK CI,HISPANIC CI,WHITE CI
0,ARIZONA,18,6/17,30097.0,1045.0,10046.0,6892.0,282.0,437.0,174.0
1,ARIZONA,18,6/22,54586.0,1382.0,14165.0,9040.0,372.0,616.0,228.0
2,ARIZONA,18,6/26,63030.0,1537.0,16083.0,10209.0,414.0,699.0,258.0
3,ARIZONA,18,6/30,79215.0,1749.0,18973.0,12417.0,471.0,825.0,314.0
4,ARIZONA,18,7/02,87425.0,1933.0,20606.0,13770.0,521.0,896.0,348.0
5,ARIZONA,18,7/07,105094.0,2204.0,23648.0,15923.0,594.0,1028.0,402.0
6,ARIZONA,18,7/10,116892.0,2628.0,27435.0,19142.0,708.0,1193.0,483.0
7,ARIZONA,18,7/14,128097.0,2818.0,29625.0,20807.0,759.0,1288.0,525.0
8,ARIZONA,18,7/17,138523.0,2991.0,31974.0,22271.0,806.0,1390.0,562.0
9,ARIZONA,18,7/21,148683.0,3207.0,34047.0,23831.0,864.0,1480.0,602.0
10,ARIZONA,18,7/24,152944.0,3303.0,35280.0,24532.0,890.0,1534.0,620.0
11,ARIZONA,18,7/28,165934.0,3740.0,38027.0,28597.0,1008.0,1653.0,722.0
12,ARIZONA,18,7/31,170798.0,3915.0,39655.0,29738.0,1055.0,1724.0,751.0
13,ARIZONA,18,8/04,179497.0,4089.0,42563.0,31004.0,1102.0,1851.0,783.0
14,ARIZONA,18,8/07,183647.0,4406.0,45585.0,33050.0,1187.0,1982.0,835.0
15,ARIZONA,18,8/11,188737.0,4614.0,47699.0,34234.0,1243.0,2074.0,865.0
16,ARIZONA,18,8/14,190794.0,4721.0,48679.0,34943.0,1272.0,2116.0,882.0
17,ARIZONA,18,8/18,194005.0,4824.0,49967.0,35789.0,1300.0,2172.0,904.0
18,ARIZONA,18,8/21,196899.0,5799.0,58289.0,45080.0,1562.0,2534.0,1138.0
19,ARIZONA,18,8/25,199273.0,5851.0,59022.0,45460.0,1576.0,2566.0,1148.0
20,ARIZONA,18,8/28,201661.0,6016.0,60796.0,46718.0,1621.0,2643.0,1180.0
21,ARIZONA,18,9/01,202342.0,999.0,7938.0,7609.0,269.0,345.0,192.0
22,ARIZONA,18,9/04,204681.0,6133.0,61734.0,47440.0,1652.0,2684.0,1198.0
23,ARIZONA,18,9/08,206045.0,6169.0,62161.0,48110.0,1662.0,2703.0,1215.0
24,ARIZONA,18,9/11,207523.0,6200.0,62555.0,48598.0,1670.0,2720.0,1227.0
25,ARIZONA,18,9/15,209209.0,6328.0,63537.0,50108.0,1705.0,2762.0,1265.0
26,ARIZONA,18,9/18,212942.0,6467.0,65180.0,51856.0,1742.0,2834.0,1310.0
27,ARIZONA,18,9/22,214846.0,6500.0,65664.0,52718.0,1751.0,2855.0,1331.0
28,CALIFORNIA,50,6/17,109020.0,5043.0,61492.0,19424.0,196.0,396.0,134.0
29,CALIFORNIA,50,6/22,173824.0,5485.0,69392.0,21177.0,214.0,447.0,146.0
30,CALIFORNIA,50,6/26,195571.0,5981.0,76036.0,22871.0,233.0,490.0,157.0
31,CALIFORNIA,50,6/30,222917.0,6557.0,83658.0,25250.0,255.0,539.0,174.0
32,CALIFORNIA,50,7/02,232657.0,6774.0,86009.0,26127.0,264.0,554.0,180.0
33,CALIFORNIA,50,7/07,271684.0,7693.0,97599.0,30519.0,300.0,629.0,210.0
34,CALIFORNIA,50,7/10,296499.0,8336.0,104040.0,33275.0,325.0,670.0,229.0
35,CALIFORNIA,50,7/14,329162.0,9196.0,115828.0,37400.0,358.0,746.0,257.0
36,CALIFORNIA,50,7/17,356178.0,9963.0,125858.0,40603.0,388.0,811.0,279.0
37,CALIFORNIA,50,7/21,391538.0,10866.0,140066.0,44276.0,423.0,902.0,305.0
38,CALIFORNIA,50,7/24,425616.0,11717.0,150960.0,47871.0,456.0,972.0,329.0
39,CALIFORNIA,50,7/28,460550.0,12741.0,165201.0,51728.0,496.0,1064.0,356.0
40,CALIFORNIA,50,7/31,485582.0,13382.0,176527.0,54219.0,521.0,1137.0,373.0
41,CALIFORNIA,50,8/04,514901.0,14149.0,191958.0,57183.0,551.0,1236.0,393.0
42,CALIFORNIA,50,8/07,529980.0,14691.0,201559.0,59102.0,572.0,1298.0,406.0
43,CALIFORNIA,50,8/11,561911.0,15622.0,216008.0,62441.0,608.0,1391.0,429.0
44,CALIFORNIA,50,8/14,593141.0,16390.0,226715.0,65396.0,638.0,1460.0,450.0
45,CALIFORNIA,50,8/18,628031.0,17496.0,240925.0,69364.0,681.0,1552.0,477.0
46,CALIFORNIA,50,8/21,421143.0,18043.0,249313.0,71233.0,703.0,1606.0,490.0
47,CALIFORNIA,50,8/25,668615.0,18817.0,262106.0,74224.0,733.0,1688.0,510.0
48,CALIFORNIA,50,8/28,683529.0,19321.0,269683.0,76255.0,752.0,1737.0,524.0
49,CALIFORNIA,50,9/01,707797.0,20098.0,282690.0,79526.0,783.0,1820.0,547.0
50,CALIFORNIA,50,9/04,717177.0,19124.0,251261.0,76411.0,745.0,1618.0,526.0
51,CALIFORNIA,50,9/08,735235.0,21216.0,299981.0,83745.0,826.0,1932.0,576.0
52,CALIFORNIA,50,9/11,742865.0,21575.0,305364.0,85124.0,840.0,1966.0,585.0
53,CALIFORNIA,50,9/15,760013.0,20733.0,275183.0,83070.0,807.0,1772.0,571.0
54,CALIFORNIA,50,9/18,766201.0,22454.0,320694.0,89200.0,874.0,2065.0,613.0
55,CALIFORNIA,50,9/22,781694.0,23014.0,329643.0,91656.0,896.0,2123.0,630.0
56,COLORADO,41,6/17,29442.0,1693.0,11356.0,10113.0,639.0,909.0,259.0
57,COLORADO,41,6/22,30539.0,1729.0,11693.0,10490.0,653.0,936.0,268.0
58,COLORADO,41,6/26,31749.0,1746.0,12115.0,10960.0,659.0,969.0,280.0
59,COLORADO,41,6/30,32511.0,1762.0,12289.0,11151.0,665.0,983.0,285.0
60,COLORADO,41,7/02,33209.0,1777.0,12495.0,11417.0,671.0,1000.0,292.0
61,COLORADO,41,7/07,34257.0,1809.0,12905.0,11668.0,683.0,1033.0,298.0
62,COLORADO,41,7/10,35525.0,1854.0,13318.0,12061.0,700.0,1066.0,308.0
63,COLORADO,41,7/14,37242.0,1911.0,13817.0,12603.0,721.0,1106.0,322.0
64,COLORADO,41,7/17,38726.0,1948.0,14205.0,13008.0,735.0,1137.0,333.0
65,COLORADO,41,7/21,40566.0,2004.0,14734.0,13504.0,757.0,1179.0,345.0
66,COLORADO,41,7/24,42314.0,2048.0,15225.0,13951.0,773.0,1218.0,357.0
67,COLORADO,41,7/28,44565.0,2108.0,15945.0,14510.0,796.0,1276.0,371.0
68,COLORADO,41,7/31,46204.0,2139.0,16435.0,13984.0,807.0,1315.0,358.0
69,COLORADO,41,8/04,47968.0,2446.0,18453.0,17643.0,923.0,1477.0,451.0
70,COLORADO,41,8/07,49436.0,2462.0,18860.0,17995.0,929.0,1509.0,460.0
71,COLORADO,41,8/11,51039.0,2521.0,19568.0,18706.0,952.0,1566.0,478.0
72,COLORADO,41,8/14,52219.0,2188.0,20036.0,19258.0,826.0,1603.0,493.0
73,COLORADO,41,8/18,53370.0,2594.0,20499.0,19662.0,979.0,1640.0,503.0
74,COLORADO,41,8/21,54230.0,2625.0,20857.0,19995.0,991.0,1669.0,511.0
75,COLORADO,41,8/25,55341.0,2667.0,21256.0,20404.0,1007.0,1701.0,522.0
76,COLORADO,41,8/28,57223.0,2707.0,21813.0,20881.0,1022.0,1746.0,534.0
77,COLORADO,41,9/01,57424.0,2716.0,21861.0,20954.0,1025.0,1749.0,536.0
78,COLORADO,41,9/04,58287.0,2751.0,22271.0,21525.0,1039.0,1782.0,550.0
79,COLORADO,41,9/08,59487.0,2772.0,22593.0,21856.0,1046.0,1808.0,559.0
80,COLORADO,41,9/11,60185.0,2799.0,22912.0,22335.0,1056.0,1834.0,571.0
81,COLORADO,41,9/15,62099.0,2832.0,23449.0,23070.0,1069.0,1876.0,590.0
82,COLORADO,41,9/18,63750.0,2837.0,23779.0,1049.0,1071.0,1903.0,27.0
83,COLORADO,41,9/22,66053.0,2873.0,24446.0,24552.0,1085.0,1956.0,628.0
84,FLORIDA,2,6/17,80109.0,15300.0,28446.0,43000.0,510.0,673.0,427.0
85,FLORIDA,2,6/22,100217.0,17900.0,34111.0,48500.0,597.0,808.0,482.0
